Usuario,Seguidores,Seguidos,nroTweets,nroReTweets
alcaraz_a_a,31,160,0,1
marthaalcaldes,30,244,1,0
emmaaparici,68,77,0,1
Fesuc_Chile,1161,555,0,1
DiputadosVerdes,11673,1381,0,1
Yazcardenas15,884,829,0,1
JamesPScriven,2084,302,1,0
gelapithecus,1163,946,0,1
jcdiazbohorquez,1437,595,1,0
PaulinaGamberg1,11,19,0,1
gilicacol,6,33,0,1
ddichiaro,68,24,0,1
matgilvillanova,15,27,0,1
Aseel95958101,191,381,0,1
cristinagarmend,5671,524,0,1
BecasUAdeC,131,82,0,2
ElxMes,94,67,0,1
RemeiLibrarian,398,730,0,1
marianamxe,689,1376,0,1
nachovia1,219,365,0,3
rosamelero,2147,597,0,5
Subsidio_52_55,604,283,0,1
PadilladeArriba,70,95,0,1
SernaHidalgo,730,1422,0,3
npereyra366,1057,1358,0,1
angelitabar0,38,37,0,1
bibliotecaaxarq,1008,1159,0,1
dcamara_mx,411,604,1,0
BrunoChiica,6448,5973,0,1
SuscripcionAMX,101,330,0,1
iduvina,9222,2879,0,1
ieslasendagtf,108,118,4,2
LAQI_quality,1002,750,1,0
MaJa_Queen1,89,37,0,1
Africanoes1pais,9204,1242,1,0
SusanaGarciaM3,171,315,0,1
Antroducadora,32,133,0,2
MariaGomezRguez,1805,462,1,0
Ddcastibanque,6218,3532,0,2
roque_lisbet,71,273,0,1
chefidiaz,1432,451,0,1
MagdaQuerol,924,1175,0,1
RevistaPauta,4053,1123,0,1
JulinVz59078725,1,27,0,1
agrobialar,6378,2432,0,1
ApSExtremadura,947,2473,0,1
OLGAMINGUEZ_,711,432,0,1
TALENTOS_RM,402,916,2,0
Rosa22531625,28,45,0,1
Ladecom_us,1576,961,0,1
poogier,835,545,0,1
catedralDburgos,3822,353,0,1
horacio_urbano,13974,6522,0,2
Yola_MartinezL,2868,1019,0,9
Valdin_,108,285,0,1
MLejtreger,436,921,0,1
JesusFCaballero,543,394,0,1
activamutua,2363,638,0,1
ClaudiaCostin,78690,4206,2,0
MARU9095,7,81,0,1
FAbiertas,289,609,0,5
javiersilva02,291,554,0,1
Lost_in_laPalma,6201,3111,0,2
LoreBrignardell,1595,955,0,1
MGarciaMenendez,561,170,0,1
mariaelenasanz,1532,1502,0,1
andresjimenezgu,516,849,0,1
giberag,25,55,0,2
amycosONGD,1065,432,2,0
Viky_Aquin,353,472,0,4
FundacionBeQual,2670,909,16,1
on_deporte,2005,941,0,1
neidyclavijo,889,589,2,1
Karen_Vizental,127,44,1,0
andresgutileon,682,955,1,0
Mayau_20,197,25,0,1
ciedur,293,281,2,0
jcanohernandez,144,329,0,3
tomasdelara,2198,1031,0,1
RafaelMedran3,314,375,0,2
CarlaDeparedes,53,67,1,0
ComprometidosDH,917,1096,0,1
jaumestj,203,513,3,0
sariasgo,471,277,2,0
EcuadorONU,3692,475,1,0
Carlossustentia,164,219,0,1
ma_delrefugio,103,300,0,2
Red_Carolina,115002,1506,5,8
agdiplomatica,213,245,0,1
Perisandru,10789,4668,0,1
deutschl_u,33,52,0,1
carlosgurpegui,1938,2973,0,4
YarinaAmoroso,170,533,1,0
Josanlealgarcia,381,609,0,1
Fawwaz63299738,206,266,0,1
cirollueca,2495,2954,1,1
marbacho1955,1413,4058,0,1
Orrozco1,17,197,0,1
Chiesi_es,968,1068,0,2
castillomontse1,7,28,0,1
ismaelpj764,20,73,0,1
Tashi96428701,62,159,0,3
MaluMicher,16727,1295,1,0
lorejarena,576,2377,0,1
IKUinnovation,745,535,1,0
Jose_mpp,241,1717,0,3
Vivianaeche92,7,190,0,1
carlosmcabo,1195,1164,1,0
FMayorZaragoza,10685,421,0,1
moniquitauribe,145,592,0,1
MarianaCaccia,400,2546,0,73
JuventudCYL,15890,413,0,1
Centro_IDEARSE,3674,1571,0,2
laulizac2,144,350,0,3
InmaVelascoJuez,216,117,0,3
Cristia16062147,4,1,0,2
mariaferquijano,249,544,0,4
CruzRojaCarav,521,212,0,1
beethik,281,276,0,1
XSolidaria,7247,1177,0,1
JulioCesar_CM,492,741,2,0
M_LuzOrtega,2335,1841,1,7
Crisluqe,1230,839,1,1
GandyDol,156,369,0,1
EmbEspSkopje,1433,570,3,0
fitocrackk,747,1446,0,1
EleComoPuente,128,290,1,0
diegolg22,515,307,0,1
claralunis,109,166,0,1
JaimeSilos,2156,542,0,1
teocla,308,1419,0,12
Vivirsinplastic,4469,678,0,1
ONU_derechos,649387,2202,0,2
rauleru,456,214,0,3
luciana_at,111,290,1,0
RosaArrieta2,249,844,0,1
pparganzuela,2369,695,0,1
aldeassosSV,1426,686,1,0
joseluisgcureno,3518,2190,1,0
JennyAcostaB29,545,1745,0,1
sylviallys,57,121,0,1
BerDiSal,269,92,0,1
Alma_AvilaF,247,1198,0,1
Belmont_Forum,1666,1713,0,1
alonsomj,449,720,1,0
ESPON_Contacto,301,461,0,1
zoilorios,50,23,0,1
UNESID,1755,708,0,2
yonydumar,7078,6636,0,1
IsraelLpezMarn1,142,469,0,2
ngarciacasarejo,506,752,3,3
constanzagonzlz,1303,1154,0,1
aleidagodinez,122,194,0,1
Vir_VIDAL_ACERO,261,603,0,1
alcastaro,505,246,0,1
anton2483,64,336,0,1
jdoviedoa,6429,278,0,1
jorgearomo,426,3236,0,1
charina_romero,31,98,0,1
scielomexico,2076,345,0,1
cintamoraleda1,18,85,0,1
lucmaddo,571,984,0,1
allkindsofkind,345,1969,0,1
gerssontillit,393,782,0,2
jalmagro,2916,249,0,1
GraceUnda,189,367,0,1
JuniorReport_,1362,337,1,0
AnaRaquelHB,89,88,0,1
anitamarianunez,292,354,0,4
GustavoMangisch,116,40,0,1
APCCARDENAS,76,22,0,1
HuichapanCecyte,670,136,0,1
YESENIA03215661,11,35,0,1
XimeNowodworsky,148,306,0,1
MiguelMorffe,573,1001,0,1
orientacionami1,52,28,0,1
SmartCity_Net,5250,849,0,1
Diegogarciavele,555,573,0,1
alidagf4,160,82,0,4
emvsmadrid,3420,604,0,1
belensantacruzd,637,1937,0,1
sanidadgob,239710,607,2,1
juliaabcom,74,162,1,0
UTECuy,4682,542,0,1
feproami,1788,2499,1,3
CCOOMAPFRE,1912,1884,0,2
alvizlo,5670,1408,2,1
AxlMorales10,195,1964,0,1
MrMisingno,3348,1302,0,1
Tosgriju,2184,726,0,2
valeasche,111,106,0,1
PaolaMendezCo,202,564,0,1
agenciaoaxacamx,4953,2373,1,2
sanandreslovers,178,262,0,1
malone_federico,339,184,0,1
blanca_gonzaga,3443,4928,0,2
CaloCalo2017,36,243,0,1
ledesmaarzuaga,6010,4412,0,2
MGascaGomez,832,652,0,1
FOLanodetal,1405,1117,0,1
EMPODERA_org,5291,1202,6,14
MartineGayon,553,76,0,1
DanielBRavoAcos,143,543,0,2
PRL_UC3M,253,562,0,1
Lilianalopezn,646,2136,0,1
ximenagalvans1,41,702,0,1
JasyAnaya,218,524,0,1
Vzqz_alberto,162,420,0,1
luismi_ortega,838,249,0,1
CulturaUNEDSg,154,55,0,3
507BackPacker,170,237,0,1
tefasampedro,145,184,0,2
ClamVeracruz,293,761,0,2
nenuhca,722,489,1,0
iSheiPeza,324,52,0,1
FedecaMIRANDA,106,139,0,2
CieloConstanza,98,387,0,1
Alberto_Guijarr,1257,1555,1,2
AoniaNewEdu,1215,1122,1,0
elie_luna,152,131,1,0
SonYritmo,182,541,0,2
mayitoadri,305,186,0,1
lucianodiputado,794,1608,0,1
jmaryli,4827,4320,0,1
Fernand43688129,42,538,0,1
loupolobayarri,931,1565,0,2
MiquelCorral,26,53,0,1
FelipeGlezSEO,1535,961,0,1
MariaLeoMl,325,856,0,3
xema1493,10,79,0,1
FactoryMatters,36,54,1,0
hdojgomez,4977,117,0,4
JohannaMurilloF,85,94,0,1
PAT_JarandillaV,230,407,4,0
stefysepulveda,748,976,0,2
spuertopavon,247,382,0,1
guchachi,845,359,7,1
Diego_Guzman77,1955,2655,0,1
CientTi,9,65,0,1
GloriaRazabal,4831,4476,0,2
Lourdes65241217,52,139,0,1
320CyM,466,1481,1,1
Ferfollos,828,1389,0,9
Rm_ArqT,27,248,0,1
damuer7,167,360,0,1
rrtrigos,78,59,0,1
Oxfam_Guatemala,2078,724,0,1
SiaEducacion,374,635,1,0
AsoAreasCOL,1040,504,1,0
fzamorapolo,449,235,1,1
NP_Aguirrezabal,313,435,0,6
AlcanzaA,66,346,0,1
NAAEEM33,1220,1278,0,1
LeyessefC,941,991,0,1
nachagm,320,387,0,1
holincer,101,224,0,1
karlagg979,4,6,0,1
FIUSOCantabria,242,389,0,1
SenenaCorbalan,258,185,0,3
AIAFcolombia,3891,724,0,2
julumbreras,370,96,0,1
CarmenA33780200,37,86,0,1
jekgutierrez,301,567,0,2
ies_laalbora,130,148,0,1
Carmentxu8,291,312,0,1
DgSedeso,1,40,0,1
klemengambel,42,223,0,2
jamc1982,911,1449,0,1
ResilienceAcad,377,391,0,1
mauromosquera,12297,968,0,1
davidorreta,1868,1027,0,1
ECO_CIRCULAR,3031,767,0,3
asolengin,358,517,0,1
ATORIVERO,3621,4883,0,2
Patxietxea,89,27,3,0
mj_villamide,195,96,0,1
jorgesolana,1141,574,3,7
RamonVillasante,1734,5001,0,2
valeria_laurens,90,224,0,1
manuelgross,11592,2048,0,1
EquoRonda,216,499,0,4
ivanisblanco,673,893,0,1
qrga88000,321,535,0,3
AragonCsic,825,298,0,1
Ecoplayero,68,253,0,1
jaimesfsegundo,18,11,0,1
DelGobCantabria,849,138,0,6
AshokaSpain,19280,1140,1,0
cesiaurangom,30,82,0,1
MarialEguiguren,203,523,0,1
mmugnolo,1437,763,1,3
GaliciaGarciaG,158,268,0,1
ForoSolidario,2715,757,0,1
MartinLl35,6,48,0,1
SandorGerendasK,2410,2498,0,1
DoraObserva,17,87,0,1
Cbasagoiti,313,208,0,1
emaria_rm,113,474,1,1
Webstranet,845,1968,0,1
CEncaramado,60,265,0,1
ElisaGuerraCruz,13786,1955,0,2
AnchetaAna,286,274,0,1
Andalucia_Ong,4589,138,0,3
OITnoticias,33027,159,0,1
Ongvenezuela1,270,412,1,1
SaludPublicaAra,2336,352,0,3
romeroquezadaps,1297,2888,0,1
susanagarc2,825,1041,0,1
GAcarvajalino,146,731,0,1
BelnUso,1504,1429,1,0
TercerSectorCLM,343,287,0,1
gomez_emilio,49,231,0,1
JulioGuinea,1329,1922,0,1
odalis74hn,73,41,0,1
BiblioCampusSur,285,23,0,1
ALMUGOGAR,250,213,0,5
pacolope2315,454,1699,0,2
jennifer4jv,62,394,1,0
EmbaparCorea,191,100,0,2
BezanillaLanza,130,158,0,1
nidiaquiroz6,22,24,0,2
Omardicion,3447,1954,0,1
ra_osorio,262,419,0,2
IPE_CSIC,1583,523,0,1
KaterinMu14,34,61,0,1
fesabid,9516,2521,4,6
ACNURSuramerica,4111,373,0,1
daiesco,254,464,1,0
fraconalv,487,252,0,1
mitinman,1079,732,0,1
rafacratos,55,61,0,2
IS2030_Chile,147,324,2,0
ANDIHonduras,5692,670,6,0
DiegoParedes9_,713,615,0,4
tranviademurcia,3364,751,0,1
ana_laborinho,23,63,0,1
weartopen,78,629,3,1
jrodriguezarana,1948,40,0,1
_carozm,84,275,0,2
Yo_feminista,1037,2407,0,1
leoholguinmunoz,109,297,1,0
AlejandraVlez1,112,393,0,3
anamari22127336,47,171,0,1
CMPenalba,332,370,1,0
manenar,322,396,1,6
jilmar_capelo,40,73,0,2
cadlf14,256,920,0,1
CGGalapagos,12013,491,0,1
AngelCotayna,229,531,0,4
ANGED_es,4723,620,1,0
conchivillamil,655,1319,0,1
PinoManzano1,40,77,0,3
FIIAPP,8395,2401,3,0
pausoto_,873,986,0,1
JuanPena_UCM,10,66,0,1
PradosMay,34,105,0,3
elisacm_18,30,108,3,1
Patriciamunozal,125,657,0,1
CarlotaMerchn,3382,797,1,0
mricfu,133,726,0,1
Fenix_Directo,39432,888,0,1
TIMUR_TIC,958,1004,2,2
ZuarezMarciano,100,669,0,1
Sam10RZ,328,515,0,1
Jmatarredonab,2,8,0,1
RevistaRetosUps,93,598,1,0
giacoblack,64,966,0,1
Agora_Social,386,173,0,1
ElenaVizcay,409,643,0,1
SarahiPalmaCas1,19,158,0,1
juanjoamate,1737,284,0,1
MelissaBQ,112,675,0,1
prisserrano1,11,12,0,1
ProEduInclusiva,868,563,0,1
afamdeh,410,433,0,2
amparosolerd,259,1468,0,1
17ISA17,71,67,0,1
Carlos_GPerujo,2504,2086,0,1
RaulGermanRodri,326,822,0,1
CooperacionESP,26060,2377,0,4
Gaztaroa,374,227,0,1
FulgencioJS,307,286,0,1
Alba_B_Soto,2116,366,0,1
Fpinuela,30,65,0,1
marco_euan,11,193,0,1
ArmadaAlvaro,3318,3997,0,1
jonyulin,528,1075,0,2
ostelea,2921,2307,0,1
latinlatas,2226,317,0,1
economicas_unlp,7630,3398,1,0
leandrokevin2,261,947,0,1
YpsilomRSE,1316,499,12,2
ERCorrales_,7560,6992,0,1
Attempranaand,5712,8069,0,1
luis_ods,132,48,0,11
TSanchezdelaC,937,1240,0,1
korieUNFPA2,217,364,0,1
bibliodonihue,1020,283,1,6
DOMINGUEZLM,25464,6556,0,2
davidgvtierrez,2818,818,3,2
JosMrqu24718267,4,15,0,5
gperezedith,268,152,1,3
elcencarni,218,355,0,1
JuanGon92494835,148,437,0,1
txeslaespada,2297,1608,0,1
PaulMBradley,1261,1559,0,1
cris230653,302,558,0,1
LCARLOSPATINO,18,39,0,1
ScientificActiv,151,80,1,1
mlopezquesada,1920,1951,0,1
Helena_conHatxe,412,616,2,2
asocgaraje,1376,626,1,0
JGuerreroN13,266,487,0,1
UNODC_PERU,54,108,1,1
ictlogist,13428,980,0,1
inesmanzano,8630,205,0,1
USIE_IE,1463,372,0,1
javierre_es,1532,156,1,0
AMPROSCantabria,4137,1898,0,1
mariapazdeleon,749,498,0,1
Salud2015menta2,66,26,0,2
eglz2014,298,883,0,1
CEComercioJusto,6457,932,2,2
FMBBVA,2985,458,4,0
memescandon,117,115,0,1
rwaidakareem,138,209,0,1
EnriqueWagener,692,647,0,1
geadeluna,801,2219,0,1
susanareyeslope,1297,2060,0,1
FruitsdePonent,1013,819,1,0
sandrapf13,176,224,0,1
ali1937n,186,507,0,1
zuleco2,1328,1633,2,0
pmalnati,117,319,2,1
mavigilcerezo,153,248,0,1
HRodriguezCuan,12738,11132,0,1
RamalesInforma,630,596,1,0
LopezOyanarte,8,39,0,3
PSOEigualdad,10063,1141,0,1
Yadiraamingt,26,405,0,2
mastercoopera,4006,2427,0,1
drfior,2422,1895,1,0
omyaman9,126,169,0,1
marlofe_,27,62,0,2
feijoo_costa,417,394,1,0
sostenible132,527,318,0,3
luisyepesb,15315,9013,0,1
trabaja_MA,6927,3429,0,1
GMTatiana,502,390,0,1
JhardiAurora,1612,1480,0,1
calguacilh,83,135,0,1
carmenm12319570,251,365,0,1
iRiaApariCio,431,1622,0,1
JMRuiz3,1925,3850,0,2
elenatvieira,3016,4995,0,1
pacoalcubierre,292,99,0,2
lenaqui,817,679,0,1
rauvva,54,86,0,2
CGCOIA,1712,247,0,1
fundacioagbar,2557,361,0,1
ElorzaJuan,16,51,0,1
autonomialocal,246,1115,0,1
oscarfc777,292,631,0,3
soledadbaidez,1644,2139,0,2
marietabeun,1622,1424,0,1
jgarcia_FR,90,96,0,1
mariagemaquint1,841,726,7,7
lucianamermet,1269,1356,1,3
inmitacs,13095,13894,0,1
amendezb,2384,1173,1,0
PSOE_Pelayos,820,253,0,1
elivmendozavig1,6,184,0,1
darioroberto84,280,834,0,1
Yacyreta_AR,4715,2365,1,0
Fredybv1986,60,296,0,1
iambiente,59187,23621,0,8
AEFJ_juguetes,648,203,0,1
kevinlarrea,155,316,0,1
rcs_chile,556,1018,1,0
RSCruzRojaMad,1951,2010,1,3
mesagenperu,133,91,0,1
landaverdemena,9352,3428,0,1
eliramirez82,1840,1242,1,0
merchezamorano,8,70,0,1
lgarcia1711,151,379,0,2
RaquelCabezudo,281,235,0,1
PanchoR0driguez,971,441,0,1
PSPV_CS,2813,2458,2,0
PabloRicardoLe3,9,95,0,1
Mafuensanta,1914,2412,0,1
Dummars,351,315,0,1
eroigbelloch,821,1140,0,1
magelsalvador,13217,346,1,0
NUEVOFUTURO,2589,1808,1,0
ccsanin,86,1579,0,2
mikeaular,1271,3376,0,1
NbWPkpGBSEcEifF,91,153,0,1
GgarciaGarca,39,104,0,2
GrupoPenarroya,340,141,2,0
gabrielgago96,942,1101,0,1
isalozanovlc,2828,1325,0,1
gobqro,260513,21211,0,1
UOCbiblioteca,2079,957,3,0
FundHuancavilca,1089,1293,0,1
alunavil,523,1968,0,1
CarrasquelRori2,592,48,0,1
BailacAssumpta,533,412,0,1
Gatoi2014,225,347,0,1
AqeelKhalefa,220,347,0,1
EINAunizar,7209,153,0,1
ErikaTorregrosa,3404,857,1,0
redondogines,102,126,0,5
KiiKeCaNo,877,694,1,1
DiegoSo54136928,21,567,0,1
ObservatorioRS,7311,974,0,1
KathefrancoK,65,195,0,1
ciimurcia,589,542,1,1
Gemusica1,11,12,0,2
GeoMaoValencia,177,239,0,2
Davidsarvise,430,383,0,1
bomobu,1739,2021,1,0
BelenCardonaRub,705,524,0,2
Roberto19740286,9,36,0,2
BooksElx_IESLA,77,324,0,1
RubenAventuros2,22,33,0,2
DaniRoldan94,262,301,0,3
NoEsUtopia_com,148,138,0,1
islasantaelena,59,165,1,0
DVelopSoftware,903,350,0,1
Fco__Guzman,61259,465,0,1
hilariomunguia1,62,308,0,1
ekuischlaroche,5743,820,0,1
Abacolegio,1992,826,0,1
irenegonser,884,1346,1,1
gbragatwit,1207,1948,0,6
RicardoSnchezH4,135,72,0,1
lourdeslopezca,184,354,0,3
jesusdelaosa,3296,2811,0,4
L2_LaSegunda,7063,2025,2,0
UNESCOMexico,249576,954,8,0
CentroAlba_,241,295,1,0
penelopePNME,138,213,1,2
rosa_moli,48,234,0,2
tadmura,405,1715,0,2
foretica,16928,1327,9,15
globschool,5439,2497,1,0
RRIIglocales,756,674,0,5
sergmata1,2218,549,0,1
anitalara_s,235,355,0,1
catymonreal_,944,513,1,0
anasanchezgar93,86,286,0,1
richardnovoa22,101,139,0,2
RedCarolinaCol,6074,899,0,5
Compromiso_Empr,5957,641,1,2
PaolaEsteban10,46,189,0,1
michchampsaur,127,280,0,1
Sole_cardozo,228,414,0,1
mabemolnar,1592,2989,1,0
EmbajadaEspPeru,2952,279,0,7
LegalGempAsesor,1598,2112,0,1
davidginer,3576,1135,1,0
MarinaL39605322,6,96,0,1
AdalidAldana,469,300,0,1
Anamariamojita,1002,305,0,1
Whipala_16,27,26,0,9
Asoc_Columbares,1607,619,2,0
dfcspain,4065,2195,7,1
ChoniDM,351,733,0,1
Arrucha,2166,1191,0,2
SchafferBrunela,251,488,0,1
SinCorbataTVN,18740,245,0,1
viviangilles,6,47,0,1
gensep54,287,637,0,1
MelLoayzaZ,139,410,1,0
juanfracardozo,442,384,0,1
STP_Paraguay,26972,760,1,0
verodelgadosch,750,369,0,1
JesusMorenoR1,152,200,0,3
RaulCedeno,269,353,0,1
ANDI_Colombia,91771,1160,0,1
Oceanicas_IEO,1511,390,0,1
mariasolivellas,176,95,0,1
EBCzaragoza,609,402,1,2
OndaCeroMalaga,10796,664,1,1
AzaiConsultores,692,643,2,0
liliiiimorarq,72,836,0,1
MesaHumanitaria,158,94,1,1
amparonavarro14,164,169,0,1
EnactusMexico,1536,294,2,0
elenapreciosoar,73,264,0,2
tonibalaguerm,81,240,0,1
GrandesChicas,2099,2903,6,1
mariabarcelo,8874,4601,0,1
onmedic,15822,405,0,1
Agrapp_co,64,200,0,1
Ethic_,33734,1769,6,3
SEIASA_OFICIAL,1406,785,2,0
snemovna,5859,1,0,1
tranqui69,199,282,0,1
fenowin,233,1393,0,1
andipvn2,9,77,0,1
Juandayepes,390,269,0,2
jasolanop,92,233,0,3
formateartv,160,281,0,1
fedesei,5006,826,0,1
EmmeKaa29,269,1481,1,0
CordobaCMundo,280,354,3,0
MendezLeo06,3068,4275,0,4
hector_rubin,5894,944,0,1
ricnev01,264,113,0,1
UCAMCatedraRSC,428,278,2,7
M2C_Estrategias,112,549,28,4
